ticker,LRCX,AMAT,KLAC,ETN,MU,WDC,CAT,GLW,AMD,GS,HD,LOW,COF,SYK,MA,BAC,MCD,DIS,AXP,V,MRVL,ORCL,COP,SNDK,CVX,AVGO,XOM,STX,NOW,CRM,MSFT,CRWD,ACN,PANW,SPGI,PLTR,IBM,WMT,UNP,MRK,DE,TXN,JNJ,WELL,NEE
LRCX,1.0,0.8974,0.8692,0.6772,0.7795,0.6956,0.6869,0.7103,0.6259,0.5338,0.1219,0.0658,0.2314,-0.153,-0.1037,0.2316,-0.2309,0.0196,0.1792,-0.0943,0.5725,0.2347,-0.2319,0.7008,-0.2895,0.534,-0.2511,0.6542,-0.2468,-0.2632,0.0562,0.2225,-0.2991,0.175,-0.1837,0.1526,-0.0226,-0.1102,0.0094,-0.0178,0.1911,0.4679,-0.2325,-0.0525,0.0725
AMAT,0.8974,1.0,0.8674,0.6697,0.7311,0.6475,0.6944,0.7062,0.5792,0.4748,0.0925,0.0264,0.1833,-0.1626,-0.1722,0.1778,-0.2715,-0.0428,0.1437,-0.1443,0.5854,0.2218,-0.1616,0.6248,-0.2357,0.492,-0.2015,0.5886,-0.2489,-0.2417,0.0115,0.2164,-0.3224,0.1665,-0.2184,0.1179,-0.0655,-0.1193,0.0582,-0.0023,0.2248,0.4732,-0.2013,-0.0645,0.0977
KLAC,0.8692,0.8674,1.0,0.6397,0.6693,0.5875,0.6268,0.6625,0.5848,0.4571,0.1012,0.0606,0.1748,-0.172,-0.1265,0.1857,-0.2297,0.0298,0.1427,-0.0892,0.5623,0.1926,-0.168,0.5655,-0.2697,0.4816,-0.2144,0.5474,-0.2293,-0.23,-0.0236,0.2243,-0.3053,0.1953,-0.2009,0.1323,-0.0407,-0.0958,0.0686,-0.0054,0.2201,0.4523,-0.1892,-0.0242,0.0555
ETN,0.6772,0.6697,0.6397,1.0,0.5724,0.5907,0.7276,0.6382,0.5205,0.4486,0.1435,0.101,0.2653,-0.2218,-0.1623,0.2122,-0.1904,0.025,0.1725,-0.1216,0.558,0.2617,-0.1077,0.5059,-0.1946,0.494,-0.1636,0.5482,-0.2654,-0.2791,0.039,0.1764,-0.2985,0.1268,-0.2105,0.0973,-0.0712,-0.0997,0.1378,-0.0482,0.3353,0.5187,-0.2169,-0.0437,0.1552
MU,0.7795,0.7311,0.6693,0.5724,1.0,0.7025,0.5464,0.5696,0.5676,0.368,-0.012,-0.0814,0.1172,-0.1701,-0.1705,0.0354,-0.3188,-0.0846,0.0598,-0.1596,0.5036,0.2615,-0.1845,0.766,-0.2594,0.4862,-0.203,0.649,-0.1653,-0.1541,0.066,0.2391,-0.3015,0.1521,-0.1966,0.1274,-0.0278,-0.1909,-0.062,-0.035,0.09,0.4382,-0.2393,-0.0691,0.0034
WDC,0.6956,0.6475,0.5875,0.5907,0.7025,1.0,0.6076,0.5517,0.4578,0.3937,-0.0113,-0.0776,0.1578,-0.2315,-0.1348,0.1224,-0.2532,-0.1207,0.083,-0.0837,0.4686,0.2237,-0.1373,0.7187,-0.2128,0.4456,-0.1708,0.8773,-0.216,-0.2115,0.0062,0.1593,-0.3199,0.1116,-0.2017,0.1537,-0.0352,-0.0758,-0.0183,-0.09,0.1378,0.4348,-0.1977,-0.0937,0.0829
CAT,0.6869,0.6944,0.6268,0.7276,0.5464,0.6076,1.0,0.6555,0.4834,0.4805,0.2016,0.1801,0.2563,-0.1175,-0.1727,0.2576,-0.1481,0.0388,0.184,-0.0973,0.5335,0.1529,-0.0995,0.5396,-0.1598,0.4424,-0.1193,0.5674,-0.3127,-0.2916,-0.1595,0.0946,-0.3159,0.0282,-0.2461,0.0893,-0.0509,0.0888,0.2271,0.0604,0.479,0.5043,-0.06,0.0141,0.2318
GLW,0.7103,0.7062,0.6625,0.6382,0.5696,0.5517,0.6555,1.0,0.5349,0.367,0.0732,0.0071,0.1035,-0.1483,-0.252,0.1052,-0.2128,-0.0491,0.0387,-0.1954,0.5444,0.1707,-0.1204,0.4959,-0.2131,0.4506,-0.1506,0.4958,-0.2377,-0.2865,-0.035,0.1071,-0.422,0.1191,-0.287,0.104,-0.0723,-0.0627,0.0646,0.0032,0.2332,0.3999,-0.0704,-0.0109,0.1664
AMD,0.6259,0.5792,0.5848,0.5205,0.5676,0.4578,0.4834,0.5349,1.0,0.405,-0.0043,-0.0306,0.1354,-0.2222,-0.1626,0.1091,-0.261,0.0639,0.0921,-0.1097,0.5032,0.2716,-0.13,0.4782,-0.2031,0.4334,-0.1807,0.4155,-0.0991,-0.164,0.1745,0.2013,-0.2063,0.188,-0.1094,0.2451,0.0076,-0.0882,-0.0657,-0.1605,0.0995,0.3798,-0.2411,-0.0897,0.0653
GS,0.5338,0.4748,0.4571,0.4486,0.368,0.3937,0.4805,0.367,0.405,1.0,0.1921,0.1708,0.5219,-0.062,0.0963,0.5581,-0.1326,0.2221,0.4762,0.0932,0.3798,0.2486,-0.1653,0.3598,-0.2146,0.3638,-0.1931,0.3533,-0.0268,-0.0203,0.1454,0.304,-0.0328,0.2587,0.0956,0.2226,0.0343,-0.11,0.0878,-0.0284,0.1776,0.3343,-0.1508,-0.0947,0.0411
HD,0.1219,0.0925,0.1012,0.1435,-0.012,-0.0113,0.2016,0.0732,-0.0043,0.1921,1.0,0.8818,0.3846,0.3645,0.2586,0.2698,0.3947,0.4055,0.2972,0.2286,0.0487,-0.0813,-0.2549,0.0254,-0.2448,0.0101,-0.2327,-0.0941,0.0436,0.0171,0.0175,-0.0295,0.1684,-0.0221,0.1867,0.0086,0.1021,0.2802,0.3046,0.2129,0.314,0.1639,0.1815,0.1043,0.2136
LOW,0.0658,0.0264,0.0606,0.101,-0.0814,-0.0776,0.1801,0.0071,-0.0306,0.1708,0.8818,1.0,0.3566,0.3652,0.2116,0.2273,0.3933,0.4253,0.3074,0.1803,-0.0102,-0.0746,-0.2112,-0.0308,-0.2012,0.0134,-0.1894,-0.1533,0.0095,-0.0059,-0.0436,-0.0736,0.21,-0.0625,0.1738,0.0109,0.0678,0.3136,0.3324,0.2003,0.3472,0.1571,0.2073,0.1724,0.2178
