,eigenvalue,explained_var_%,cumulative_%
PC1,16.9879,16.9879,16.9879
PC2,12.0898,12.0898,29.0777
PC3,7.3426,7.3426,36.4203
PC4,4.1175,4.1175,40.5378
PC5,3.4046,3.4046,43.9424
PC6,2.9995,2.9995,46.9418
PC7,2.1918,2.1918,49.1336
PC8,2.0354,2.0354,51.169
PC9,1.9209,1.9209,53.0899
PC10,1.8486,1.8486,54.9386
PC11,1.7175,1.7175,56.656
PC12,1.65,1.65,58.306
PC13,1.5583,1.5583,59.8643
PC14,1.4463,1.4463,61.3106
PC15,1.417,1.417,62.7276
PC16,1.332,1.332,64.0595
PC17,1.3015,1.3015,65.361
PC18,1.2139,1.2139,66.5749
PC19,1.1537,1.1537,67.7286
PC20,1.0943,1.0943,68.8228
PC21,1.075,1.075,69.8978
PC22,1.0522,1.0522,70.95
PC23,0.9877,0.9877,71.9377
PC24,0.9535,0.9535,72.8912
PC25,0.9474,0.9474,73.8386
PC26,0.8925,0.8925,74.7311
PC27,0.8736,0.8736,75.6047
PC28,0.8589,0.8589,76.4636
PC29,0.8227,0.8227,77.2863
PC30,0.8143,0.8143,78.1006
PC31,0.7886,0.7886,78.8893
PC32,0.7635,0.7635,79.6528
PC33,0.7265,0.7265,80.3793
PC34,0.6992,0.6992,81.0785
PC35,0.6798,0.6798,81.7583
PC36,0.6766,0.6766,82.4349
PC37,0.6421,0.6421,83.077
PC38,0.6216,0.6216,83.6986
PC39,0.6163,0.6163,84.3149
PC40,0.6024,0.6024,84.9174
PC41,0.5705,0.5705,85.4879
PC42,0.5631,0.5631,86.051
PC43,0.5389,0.5389,86.5899
PC44,0.525,0.525,87.1149
PC45,0.506,0.506,87.6209
PC46,0.4949,0.4949,88.1157
PC47,0.4888,0.4888,88.6046
PC48,0.4817,0.4817,89.0862
PC49,0.4682,0.4682,89.5544
PC50,0.4407,0.4407,89.9951
PC51,0.4351,0.4351,90.4302
PC52,0.4101,0.4101,90.8403
PC53,0.3981,0.3981,91.2383
PC54,0.3857,0.3857,91.6241
PC55,0.3732,0.3732,91.9973
PC56,0.3635,0.3635,92.3608
PC57,0.3547,0.3547,92.7155
PC58,0.331,0.331,93.0465
PC59,0.3176,0.3176,93.3641
PC60,0.3102,0.3102,93.6743
PC61,0.3069,0.3069,93.9811
PC62,0.2921,0.2921,94.2733
PC63,0.2874,0.2874,94.5607
PC64,0.2723,0.2723,94.833
PC65,0.2682,0.2682,95.1012
PC66,0.262,0.262,95.3631
PC67,0.2553,0.2553,95.6185
PC68,0.2534,0.2534,95.8719
PC69,0.2434,0.2434,96.1153
PC70,0.2327,0.2327,96.3479
PC71,0.2304,0.2304,96.5783
PC72,0.217,0.217,96.7953
PC73,0.2042,0.2042,96.9995
PC74,0.2001,0.2001,97.1997
PC75,0.1893,0.1893,97.3889
PC76,0.1804,0.1804,97.5694
PC77,0.1765,0.1765,97.7459
PC78,0.1633,0.1633,97.9091
PC79,0.1592,0.1592,98.0684
PC80,0.1554,0.1554,98.2238
PC81,0.1516,0.1516,98.3754
PC82,0.1446,0.1446,98.52
PC83,0.1338,0.1338,98.6537
PC84,0.1232,0.1232,98.7769
PC85,0.1161,0.1161,98.8931
PC86,0.11,0.11,99.0031
PC87,0.106,0.106,99.1091
PC88,0.0973,0.0973,99.2064
PC89,0.0961,0.0961,99.3025
PC90,0.0897,0.0897,99.3922
PC91,0.0876,0.0876,99.4798
PC92,0.0824,0.0824,99.5622
PC93,0.0725,0.0725,99.6347
PC94,0.0683,0.0683,99.703
PC95,0.0599,0.0599,99.7629
PC96,0.0591,0.0591,99.822
PC97,0.0529,0.0529,99.8749
PC98,0.0474,0.0474,99.9223
PC99,0.0402,0.0402,99.9625
PC100,0.0375,0.0375,100.0
