,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
NVDA,0.1527,-0.0116,0.0458,-0.0364,-0.0216,0.04,-0.1631,0.0006,0.0177,-0.0838
AAPL,0.0266,0.111,0.0243,-0.0068,-0.0738,0.1003,0.0157,-0.0249,-0.1795,0.05
GOOGL,0.0929,0.0655,0.0394,-0.0782,-0.1308,0.0714,-0.1186,-0.013,-0.1201,-0.1615
MSFT,0.0415,0.0386,0.2206,-0.0878,0.0106,0.0921,-0.1141,0.0929,0.0113,-0.0864
AMZN,0.0864,0.0635,0.0959,-0.0564,-0.1056,0.1131,-0.0504,-0.0338,0.0234,-0.2395
AVGO,0.1578,-0.0416,0.0326,-0.0634,-0.0022,0.1087,-0.1208,0.0034,-0.0007,-0.0354
META,0.0742,0.068,0.0817,0.0355,-0.1609,0.0843,-0.0369,-0.0286,0.0505,-0.1907
TSLA,0.131,0.0272,0.0424,-0.0745,-0.0491,0.1781,-0.0318,-0.0974,-0.0595,-0.0352
LLY,-0.0144,0.104,-0.072,-0.2182,0.1054,-0.0736,0.0274,-0.0426,-0.1728,0.1118
BRK.B,-0.0494,0.1451,-0.0064,0.0632,-0.0348,0.0295,0.0941,0.1048,-0.0547,0.0743
MU,0.1804,-0.0483,-0.061,-0.0988,0.018,0.02,0.0992,0.0376,0.0317,-0.0697
JPM,0.0997,0.1467,0.0205,0.2211,0.104,-0.0699,-0.0416,-0.0353,-0.1539,0.0508
WMT,-0.0534,0.0789,-0.1219,0.0092,-0.0482,0.089,-0.0306,0.2347,-0.0086,-0.0745
AMD,0.169,-0.0297,-0.0193,-0.0345,-0.0133,0.1076,-0.0441,0.1002,0.0003,-0.0038
XOM,-0.0752,-0.0417,-0.0316,0.1507,0.3344,0.1389,-0.0107,0.0025,0.1787,-0.1531
V,-0.0221,0.1565,0.0952,0.0524,0.0123,-0.0179,0.2774,0.1929,-0.0279,-0.1541
JNJ,-0.0835,0.1085,-0.1477,-0.1046,0.1204,-0.0513,-0.0805,0.1154,-0.1144,-0.0203
MA,-0.0273,0.1661,0.12,0.0669,-0.0028,-0.0361,0.2452,0.1679,0.0193,-0.1479
ABBV,-0.0507,0.1143,-0.0964,-0.1723,0.1443,-0.0813,0.0977,0.0058,-0.1634,-0.0311
INTC,0.1498,-0.0235,-0.0529,-0.0536,-0.0307,0.0792,0.1247,0.0115,0.0009,-0.0103
BAC,0.0876,0.1605,0.0556,0.2408,0.0451,-0.0939,-0.0129,-0.0741,-0.1632,-0.0052
CSCO,0.1013,0.0058,0.0112,0.0391,0.1383,0.0921,0.0623,-0.0027,-0.0667,0.0421
COST,-0.078,0.0842,-0.0587,0.0048,-0.0149,0.1313,0.0546,0.2886,0.0179,-0.1159
PLTR,0.0741,0.0292,0.1644,-0.1068,0.0767,0.1192,-0.181,0.1024,-0.0197,-0.0254
ORCL,0.1012,-0.0329,0.1384,-0.071,0.0812,0.0767,-0.1967,-0.0531,0.0469,0.0232
CVX,-0.0801,-0.0389,-0.0012,0.1489,0.3525,0.1591,-0.0404,-0.0859,0.1519,-0.1587
AMAT,0.2016,-0.0212,-0.0921,-0.0373,0.0384,-0.013,0.0763,0.015,0.0361,-0.0629
KO,-0.1167,0.106,-0.1136,-0.0493,-0.0595,0.1014,-0.0198,0.049,-0.0317,-0.145
LRCX,0.2102,-0.005,-0.081,-0.0372,0.0015,-0.0268,0.0553,0.0412,0.0125,-0.0936
MRK,-0.0317,0.1272,-0.1296,-0.1556,0.1487,-0.0511,0.0794,-0.1307,-0.0294,-0.071
CAT,0.1771,0.0244,-0.1509,0.0403,0.0607,0.019,0.0044,0.0004,0.0301,0.0323
GE,0.1132,0.1134,-0.0621,0.0117,-0.0626,-0.1627,-0.2409,0.0581,-0.0073,0.0944
UNH,0.0155,0.0702,0.0243,0.0172,0.0532,0.0835,0.1784,0.0608,-0.0121,0.0308
HD,0.0265,0.1837,-0.0635,-0.0356,-0.1898,0.0657,-0.0099,-0.0615,0.2208,0.0397
MS,0.1592,0.0972,0.0761,0.1538,0.0566,-0.0335,-0.052,-0.0834,-0.1608,0.0521
PG,-0.0781,0.1419,-0.1207,-0.0186,-0.1377,0.0932,-0.0483,-0.0062,-0.0232,-0.0317
NFLX,-0.0312,0.0655,0.0775,-0.0813,0.0034,0.1293,-0.1261,0.1024,-0.0771,-0.1037
GS,0.1663,0.0817,0.0372,0.1301,0.0171,-0.0293,-0.0298,-0.0814,-0.1136,0.0706
RTX,0.0258,0.1115,-0.0481,-0.0061,0.1112,-0.1877,-0.2645,0.1722,0.0999,0.1084
PM,-0.0758,0.082,-0.0998,0.0165,0.0288,0.1332,-0.0593,0.1486,0.0002,-0.0043
PANW,0.0787,0.021,0.1916,-0.1054,0.1002,0.1105,0.0289,0.0919,-0.0467,0.2119
DELL,0.1084,-0.0094,0.0482,-0.0549,0.1266,0.1082,-0.0247,0.0333,-0.0279,0.1951
GEV,0.1564,-0.0079,-0.0754,0.0139,0.0449,-0.0059,-0.0691,0.1276,0.0244,-0.0547
WFC,0.0732,0.1429,0.0465,0.2526,0.0636,-0.0699,-0.0422,-0.0514,-0.1313,-0.0179
KLAC,0.1953,-0.0125,-0.0818,-0.0258,0.0053,-0.0096,0.0808,0.0366,0.0503,-0.0573
TXN,0.1247,0.0217,-0.1433,0.052,-0.0525,0.1784,0.185,0.0285,0.0571,0.1076
AMGN,0.003,0.1494,-0.112,-0.2076,0.1037,-0.0274,0.0832,-0.0497,-0.1473,0.0428
ANET,0.1427,-0.0243,0.0301,-0.0177,0.1122,0.0506,-0.0252,0.058,-0.0347,-0.099
SNDK,0.1629,-0.0381,-0.06,-0.0602,0.0404,0.0097,0.0705,0.0522,0.0206,-0.1559
AXP,0.0793,0.1578,0.1138,0.1461,-0.017,-0.059,0.1261,-0.0644,0.0048,-0.0264
TMO,0.0303,0.1262,0.0511,-0.1608,0.0995,-0.2179,0.0562,-0.1834,0.2281,-0.083
IBM,0.0097,0.0938,0.1554,-0.0421,0.1167,0.038,-0.0269,-0.0127,-0.0806,-0.0167
C,0.136,0.13,0.066,0.1899,0.0325,-0.0733,-0.0266,-0.0458,-0.1472,-0.0083
LIN,-0.0252,0.1035,-0.0675,0.0623,0.0125,0.1097,0.1045,0.1892,0.1523,0.2128
MRVL,0.1601,-0.0328,-0.0488,-0.0287,0.0345,0.1056,0.0411,0.0029,-0.0086,0.1049
CRWD,0.0942,-0.0001,0.196,-0.1002,0.1045,0.0816,-0.0151,0.0684,0.026,0.1856
VZ,-0.0935,0.0634,-0.0806,0.0447,0.0376,0.2336,-0.1142,-0.2153,-0.064,0.0205
ABT,-0.0594,0.1441,-0.0205,-0.0201,0.0255,-0.073,-0.0772,-0.0245,0.0947,-0.0835
TMUS,-0.1001,0.0475,-0.0231,0.061,-0.0569,0.3061,0.0154,-0.0768,-0.0501,0.0229
PEP,-0.0978,0.1048,-0.1053,-0.0412,-0.0344,0.1249,-0.1192,-0.0928,-0.0349,-0.1282
APH,0.1492,0.0107,-0.0241,-0.0361,-0.0004,-0.0686,-0.1143,0.0402,0.0657,-0.1829
SCHW,0.0276,0.1113,0.1238,0.1495,0.1054,-0.103,-0.0727,0.1559,-0.1109,-0.0418
MCD,-0.0787,0.1582,-0.0537,-0.0333,-0.0558,0.0707,-0.0321,0.1477,-0.0271,-0.0282
STX,0.1614,-0.0571,-0.0587,-0.0242,0.038,-0.0033,0.1308,0.108,-0.0821,-0.1781
DIS,0.0156,0.1581,0.0342,-0.0061,-0.0771,0.0957,-0.062,-0.1496,0.0873,0.0161
GILD,-0.0169,0.1253,-0.0746,-0.1586,0.0803,0.0534,-0.0192,0.0824,-0.0632,-0.0003
ADI,0.1569,0.0415,-0.1159,0.037,-0.0374,0.1509,0.1829,-0.0145,0.1056,0.0697
BLK,0.0947,0.1539,0.0514,0.1307,-0.0221,0.052,-0.014,-0.0729,0.0421,0.0147
UNP,-0.0002,0.1178,-0.1261,0.1256,0.0616,0.0495,0.0161,-0.0468,0.098,0.0062
NEE,0.0045,0.0583,-0.1868,-0.0107,0.0662,0.1441,-0.0827,0.0065,-0.0371,0.0339
BA,0.0845,0.1051,0.0071,-0.0549,-0.0869,0.0276,-0.1941,0.113,0.067,0.2212
T,-0.0975,0.0539,-0.0734,0.0896,0.0327,0.2419,-0.0797,-0.1734,-0.0964,-0.0274
QCOM,0.1267,0.0277,-0.0038,-0.0342,0.0214,0.1693,0.1028,-0.1204,0.0274,0.1853
WELL,-0.0394,0.0812,-0.1503,-0.0003,-0.0126,0.0102,-0.1226,0.0465,-0.1318,-0.0605
CRM,-0.0332,0.059,0.263,-0.1187,0.0572,0.1066,0.0616,-0.0344,0.0176,0.0253
WDC,0.1777,-0.0459,-0.068,-0.0329,0.0279,-0.0079,0.0898,0.0981,-0.0456,-0.1733
ETN,0.1871,-0.0017,-0.0974,0.0236,0.0265,0.0286,-0.0319,0.0189,0.0675,0.0279
PFE,-0.0118,0.1419,-0.0518,-0.2007,0.1365,-0.0214,0.0572,-0.2073,-0.0502,-0.0038
BKNG,0.0116,0.1414,0.1359,-0.0401,-0.1525,-0.0175,0.0994,-0.0585,0.0619,-0.0515
TJX,-0.0327,0.1261,-0.0382,0.0721,-0.1672,-0.0172,-0.083,0.0919,-0.0627,0.0078
UBER,0.0443,0.0917,0.1098,-0.0826,-0.0699,0.0168,-0.0515,0.0748,0.1282,-0.1209
COP,-0.0583,-0.0331,-0.0113,0.1459,0.3698,0.1404,-0.0033,-0.0252,0.1802,-0.1421
DE,0.0547,0.0819,-0.1376,0.0728,0.0447,0.0266,0.0134,-0.0266,0.1839,0.2407
DHR,0.0059,0.139,0.0167,-0.1552,0.0784,-0.2056,0.0716,-0.165,0.2606,-0.0299
ISRG,0.0238,0.1395,0.0675,-0.066,-0.0429,0.001,-0.044,-0.0007,0.0918,-0.1074
VRTX,0.0105,0.1386,-0.0336,-0.1883,0.0821,-0.0377,0.1049,0.0768,-0.0893,0.1431
BMY,-0.0236,0.1424,-0.0856,-0.1689,0.1316,-0.0546,0.0078,-0.0959,-0.2001,-0.0476
LMT,-0.0054,0.0646,-0.043,0.0245,0.1923,-0.1212,-0.2742,0.1791,0.1809,0.0512
